invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,,invoice_date,
I100008,C199951,Male,65,Clothing,5,1500.4,Cash,10/7/2022,Emaar Square Mall,,10/7/2022,Order Date = Invoice data
I100014,C138893,Male,55,Cosmetics,5,203.3,Cash,18-06-2021,Viaport Outlet,,18-06-2021,order id = invoice no.
I100015,C132779,Female,35,Clothing,2,600.16,Debit Card,4/3/2021,Mall of Istanbul,,4/3/2021,
I100024,C244411,Female,67,Books,3,45.45,Credit Card,5/1/2023,Emaar Square Mall,,5/1/2023,
I100027,C150002,Female,19,Technology,4,4200,Cash,18-05-2022,Mall of Istanbul,,18-05-2022,
I100028,C325553,Female,18,Clothing,1,300.08,Credit Card,19-06-2021,Metrocity,,19-06-2021,
I100031,C378408,Male,18,Food & Beverage,3,15.69,Credit Card,23-06-2022,Emaar Square Mall,,23-06-2022,
I100033,C278721,Male,56,Food & Beverage,4,20.92,Credit Card,19-10-2021,Zorlu Center,,19-10-2021,
I100037,C122873,Female,63,Clothing,1,300.08,Debit Card,6/6/2021,Kanyon,,6/6/2021,
I100041,C326923,Female,50,Cosmetics,3,121.98,Cash,24-07-2022,Mall of Istanbul,,24-07-2022,
I100049,C297871,Male,39,Shoes,1,600.17,Debit Card,26-12-2021,Mall of Istanbul,,26-12-2021,
I100053,C217294,Female,21,Cosmetics,3,121.98,Credit Card,2/1/2023,Metrocity,,2/1/2023,
I100057,C225062,Female,25,Clothing,2,600.16,Credit Card,13-10-2021,Forum Istanbul,,13-10-2021,
I100059,C292544,Female,52,Souvenir,3,35.19,Debit Card,14-06-2021,Metrocity,,14-06-2021,
I100068,C647308,Female,52,Toys,2,71.68,Credit Card,13-08-2021,Metropol AVM,,13-08-2021,
I100071,C522050,Female,30,Clothing,3,900.24,Cash,16-10-2021,Mall of Istanbul,,16-10-2021,
I100072,C143773,Male,64,Technology,5,5250,Debit Card,10/8/2021,Metropol AVM,,10/8/2021,
I100077,C356550,Male,46,Food & Beverage,1,5.23,Credit Card,3/2/2021,Emaar Square Mall,,3/2/2021,
I100078,C272831,Male,46,Books,5,75.75,Credit Card,10/7/2021,Mall of Istanbul,,10/7/2021,
I100080,C696236,Male,55,Toys,4,143.36,Credit Card,26-04-2022,Metropol AVM,,26-04-2022,
I100082,C357288,Female,44,Souvenir,2,23.46,Cash,31-12-2021,Cevahir AVM,,31-12-2021,
I100084,C226369,Female,68,Shoes,2,1200.34,Credit Card,9/10/2022,Kanyon,,9/10/2022,
I100089,C123196,Female,63,Clothing,5,1500.4,Cash,27-03-2022,Emaar Square Mall,,27-03-2022,
I100090,C801451,Female,27,Shoes,4,2400.68,Credit Card,17-04-2021,Metrocity,,17-04-2021,
I100094,C246470,Female,68,Toys,2,71.68,Cash,18-12-2021,Metropol AVM,,18-12-2021,
I100095,C608046,Male,60,Clothing,2,600.16,Cash,23-11-2021,Istinye Park,,23-11-2021,
I100097,C673123,Female,63,Food & Beverage,4,20.92,Credit Card,24-08-2022,Mall of Istanbul,,24-08-2022,
I100098,C228071,Male,49,Clothing,5,1500.4,Cash,16-11-2021,Cevahir AVM,,16-11-2021,
I100105,C246820,Male,39,Food & Beverage,4,20.92,Debit Card,15-04-2022,Kanyon,,15-04-2022,
I100106,C850385,Male,36,Food & Beverage,2,10.46,Credit Card,12/9/2021,Metropol AVM,,12/9/2021,
I100108,C331773,Female,45,Books,4,60.6,Credit Card,6/8/2021,Cevahir AVM,,6/8/2021,
I100111,C314731,Female,46,Clothing,3,900.24,Debit Card,13-09-2022,Metrocity,,13-09-2022,
I100113,C136435,Male,48,Clothing,1,300.08,Credit Card,31-01-2021,Zorlu Center,,31-01-2021,
I100116,C235320,Female,60,Cosmetics,3,121.98,Cash,18-11-2022,Metropol AVM,,18-11-2022,
I100126,C103405,Male,31,Clothing,3,900.24,Credit Card,26-03-2022,Emaar Square Mall,,26-03-2022,
I100127,C708853,Male,38,Clothing,2,600.16,Debit Card,16-11-2021,Cevahir AVM,,16-11-2021,
I100128,C168282,Female,23,Clothing,3,900.24,Credit Card,16-07-2022,Istinye Park,,16-07-2022,
I100137,C233463,Male,35,Shoes,5,3000.85,Cash,16-05-2021,Mall of Istanbul,,16-05-2021,
I100138,C237364,Male,52,Clothing,2,600.16,Cash,19-06-2021,Mall of Istanbul,,19-06-2021,
I100142,C161659,Male,37,Clothing,4,1200.32,Debit Card,28-08-2021,Metropol AVM,,28-08-2021,
I100145,C153189,Female,20,Clothing,5,1500.4,Debit Card,10/12/2022,Kanyon,,10/12/2022,
I100146,C320745,Female,24,Shoes,4,2400.68,Credit Card,25-04-2022,Emaar Square Mall,,25-04-2022,
I100148,C200488,Male,52,Shoes,4,2400.68,Cash,16-04-2022,Zorlu Center,,16-04-2022,
I100149,C193896,Female,65,Food & Beverage,5,26.15,Cash,17-11-2021,Mall of Istanbul,,17-11-2021,
I100151,C315218,Male,69,Clothing,2,600.16,Cash,23-07-2021,Kanyon,,23-07-2021,
I100152,C265676,Female,43,Shoes,5,3000.85,Credit Card,25-02-2021,Mall of Istanbul,,25-02-2021,
I100155,C312476,Female,30,Food & Beverage,4,20.92,Credit Card,29-06-2021,Metropol AVM,,29-06-2021,
I100156,C462935,Female,69,Books,3,45.45,Credit Card,25-01-2021,Metropol AVM,,25-01-2021,
I100161,C262871,Female,30,Clothing,1,300.08,Cash,11/4/2021,Kanyon,,11/4/2021,
I100168,C135319,Male,43,Shoes,4,2400.68,Cash,15-11-2021,Zorlu Center,,15-11-2021,
I100173,C190374,Female,69,Food & Beverage,1,5.23,Cash,18-05-2021,Metropol AVM,,18-05-2021,
I100174,C286570,Female,36,Clothing,1,300.08,Cash,7/12/2021,Mall of Istanbul,,7/12/2021,
I100181,C123341,Female,33,Clothing,5,1500.4,Cash,18-04-2022,Metrocity,,18-04-2022,
I100184,C131276,Female,32,Cosmetics,2,81.32,Cash,18-09-2022,Kanyon,,18-09-2022,
I100186,C222236,Male,62,Clothing,1,300.08,Debit Card,30-01-2023,Zorlu Center,,30-01-2023,
I100187,C178869,Female,41,Food & Beverage,1,5.23,Credit Card,28-07-2021,Metrocity,,28-07-2021,
I100192,C161234,Male,57,Clothing,1,300.08,Debit Card,17-11-2021,Mall of Istanbul,,17-11-2021,
